university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2020/21,History and Politics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721650
Cambridge,2020/21,History and Politics,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721650
Cambridge,2020/21,History of Art,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721653
Cambridge,2020/21,History of Art,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721653
Cambridge,2020/21,"Human, Social, and Political Sciences",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721656
Cambridge,2020/21,"Human, Social, and Political Sciences",BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721656
Cambridge,2020/21,Land Economy,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721658
Cambridge,2020/21,Land Economy,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721659
Cambridge,2020/21,Law,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721661
Cambridge,2020/21,Law,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721662
Cambridge,2020/21,Linguistics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721664
